tRNA_name	gtRNADB_ID	HGNC_symbol	Legacy_ID	Alignment
trna12_TyrGTA_8_-_66609532_66609619	tRNA-Tyr-GTA-9-1	TRY-GTA9-1	chr8.trna12-TyrGTA	View fragment on tRNA
trna15_TyrGTA_6_+_26575798_26575887	tRNA-Tyr-GTA-8-1	TRY-GTA8-1	chr6.trna15-TyrGTA	View fragment on tRNA
trna17_TyrGTA_14_-_21128117_21128210	tRNA-Tyr-GTA-7-1	TRY-GTA7-1	chr14.trna17-TyrGTA	View fragment on tRNA
trna17_TyrGTA_6_+_26595102_26595190	tRNA-Tyr-GTA-6-1	TRY-GTA6-1	chr6.trna17-TyrGTA	View fragment on tRNA
trna5_TyrGTA_14_+_21151432_21151520	tRNA-Tyr-GTA-5-5	TRY-GTA5-5	chr14.trna5-TyrGTA	View fragment on tRNA
trna16_TyrGTA_14_-_21131351_21131444	tRNA-Tyr-GTA-5-4	TRY-GTA5-4	chr14.trna16-TyrGTA	View fragment on tRNA
trna19_TyrGTA_14_-_21121258_21121351	tRNA-Tyr-GTA-5-3	TRY-GTA5-3	chr14.trna19-TyrGTA	View fragment on tRNA
trna5_TyrGTA_8_+_67026223_67026311	tRNA-Tyr-GTA-5-2	TRY-GTA5-2	chr8.trna5-TyrGTA	View fragment on tRNA
trna4_TyrGTA_8_+_67025602_67025694	tRNA-Tyr-GTA-5-1	TRY-GTA5-1	chr8.trna4-TyrGTA	View fragment on tRNA
trna18_TyrGTA_14_-_21125623_21125716	tRNA-Tyr-GTA-4-1	TRY-GTA4-1	chr14.trna18-TyrGTA	View fragment on tRNA
trna16_TyrGTA_6_+_26577332_26577420	tRNA-Tyr-GTA-3-1	TRY-GTA3-1	chr6.trna16-TyrGTA	View fragment on tRNA
trna2_TyrGTA_2_+_27273650_27273738	tRNA-Tyr-GTA-2-1	TRY-GTA2-1	chr2.trna2-TyrGTA	View fragment on tRNA
trna5_TyrGTA_15_-_92254302_92254374	tRNA-Tyr-GTA-12-1	TRY-GTA12-1	chr15.trna5-TyrGTA	View fragment on tRNA
trna24_TyrGTA_7_-_149053745_149053820	tRNA-Tyr-GTA-11-1	TRY-GTA11-1	chr7.trna24-TyrGTA	View fragment on tRNA
trna9_TyrGTA_7_+_149255133_149255205	tRNA-Tyr-GTA-10-1	TRY-GTA10-1	chr7.trna9-TyrGTA	View fragment on tRNA
trna14_TyrGTA_6_+_26569086_26569176	tRNA-Tyr-GTA-1-1	TRY-GTA1-1	chr6.trna14-TyrGTA	View fragment on tRNA
trna14_TyrATA_2_+_219110549_219110641	tRNA-Tyr-ATA-1-1	TRY-ATA1-1	chr2.trna14-TyrATA	View fragment on tRNA
trna1_MetCAT_9_+_19403996_19404070	tRNA-iMet-CAT-3-1	TRX-CAT3-1	chr9.trna1-MetCAT	View fragment on tRNA
trna61_MetCAT_6_+_27745664_27745735	tRNA-iMet-CAT-2-1	TRX-CAT2-1	chr6.trna61-MetCAT	View fragment on tRNA
trna20_MetCAT_17_-_80452597_80452668	tRNA-iMet-CAT-1-8	TRX-CAT1-8	chr17.trna20-MetCAT	View fragment on tRNA
trna129_MetCAT_6_-_27870271_27870342	tRNA-iMet-CAT-1-7	TRX-CAT1-7	chr6.trna129-MetCAT	View fragment on tRNA
trna142_MetCAT_6_-_27560600_27560671	tRNA-iMet-CAT-1-6	TRX-CAT1-6	chr6.trna142-MetCAT	View fragment on tRNA
trna150_MetCAT_6_-_27300764_27300835	tRNA-iMet-CAT-1-5	TRX-CAT1-5	chr6.trna150-MetCAT	View fragment on tRNA
trna169_MetCAT_6_-_26330529_26330600	tRNA-iMet-CAT-1-4	TRX-CAT1-4	chr6.trna169-MetCAT	View fragment on tRNA
trna171_MetCAT_6_-_26313352_26313423	tRNA-iMet-CAT-1-3	TRX-CAT1-3	chr6.trna171-MetCAT	View fragment on tRNA
trna2_MetCAT_6_+_26286754_26286825	tRNA-iMet-CAT-1-2	TRX-CAT1-2	chr6.trna2-MetCAT	View fragment on tRNA
trna32_MetCAT_1_+_153643726_153643797	tRNA-iMet-CAT-1-1	TRX-CAT1-1	chr1.trna32-MetCAT	View fragment on tRNA
trna19_TrpCCA_11_-_45290200_45290273	tRNA-Trp-CCA-7-1	TRW-CCA7-1	chr11.trna19-TrpCCA	View fragment on tRNA
trna3_TrpCCA_9_+_115616989_115617087	tRNA-Trp-CCA-6-1	TRW-CCA6-1	chr9.trna3-TrpCCA	View fragment on tRNA
trna1_TrpCCA_7_+_99067307_99067378	tRNA-Trp-CCA-5-1	TRW-CCA5-1	chr7.trna1-TrpCCA	View fragment on tRNA
trna6_TrpCCA_12_+_98898030_98898101	tRNA-Trp-CCA-4-1	TRW-CCA4-1	chr12.trna6-TrpCCA	View fragment on tRNA
trna6_TrpCCA_17_+_8089676_8089747	tRNA-Trp-CCA-3-3	TRW-CCA3-3	chr17.trna6-TrpCCA	View fragment on tRNA
trna168_TrpCCA_6_-_26331672_26331743	tRNA-Trp-CCA-3-2	TRW-CCA3-2	chr6.trna168-TrpCCA	View fragment on tRNA
